Application,ProcessID,SwapChainAddress,PresentRuntime,SyncInterval,PresentFlags,AllowsTearing,PresentMode,TimeInMs,MsBetweenSimulationStart,MsBetweenPresents,MsBetweenDisplayChange,MsInPresentAPI,MsRenderPresentLatency,MsUntilDisplayed,CPUStartTimeInMs,MsBetweenAppStart,MsCPUBusy,MsCPUWait,MsGPULatency,MsGPUTime,MsGPUBusy,MsGPUWait,MsAnimationError,AnimationTime,MsFlipDelay,MsAllInputToPhotonLatency,MsClickToPhotonLatency
ZoomTracks.exe,30812,0x1C47021CD80,DXGI,0,512,0,Composed: Flip,3736.6358,NA,24.86940000000000,16.65230000000000,0.99370000000000,2.06670000000000,13.0745,3712.6496,24.9799,23.9862,0.9937,24.4091,1.6438,1.6357,0.0081,NA,3712.6496,NA,NA,NA
ZoomTracks.exe,30812,0x1C47021CD80,DXGI,0,512,0,Composed: Flip,3810.6636,NA,74.02780000000000,75.04750000000000,0.81840000000000,0.82200000000000,14.0942,3737.6295,73.8525,73.0341,0.8184,72.6548,1.2013,0.4824,0.7189,-50.0676,3737.6295,NA,NA,NA
ZoomTracks.exe,30812,0x1C47021CD80,DXGI,0,512,1,Hardware: Independent Flip,3814.9525,NA,4.28890000000000,8.30180000000000,6.23420000000000,6.34520000000000,18.1071,3811.4820,9.7047,3.4705,6.2342,3.4543,6.3614,0.5296,5.8318,65.5507,3811.4820,NA,NA,NA
ZoomTracks.exe,30812,0x1C47021CD80,DXGI,0,512,1,Hardware: Independent Flip,3952.5993,NA,137.64680000000001,120.17520000000000,0.33360000000000,0.53600000000000,0.6355,3821.1867,131.7462,131.4126,0.3336,126.7032,5.2454,0.8473,4.3981,-110.4705,3821.1867,NA,NA,NA
ZoomTracks.exe,30812,0x1C47021CD80,DXGI,0,512,1,Hardware: Independent Flip,3955.0317,NA,2.43240000000000,39.03540000000000,7.94040000000000,8.13000000000000,37.2385,3952.9329,10.0392,2.0988,7.9404,0.2024,10.0264,0.7434,9.2830,92.7108,3952.9329,NA,NA,NA
ZoomTracks.exe,30812,0x1C47021CD80,DXGI,0,512,1,Hardware: Independent Flip,3963.2072,NA,8.17550000000000,0.40130000000000,9.69280000000000,29.39090000000000,29.4643,3962.9721,9.9279,0.2351,9.6928,0.1896,29.4364,29.4050,0.0314,9.6379,3962.9721,NA,NA,NA
ZoomTracks.exe,30812,0x1C47021CD80,DXGI,0,512,1,Hardware: Independent Flip,3995.3637,NA,32.15650000000000,3.19880000000000,0.18620000000000,0.42660000000000,0.5066,3972.9000,22.6499,22.4637,0.1862,19.6981,3.1922,0.4482,2.7440,6.7291,3972.9000,NA,NA,NA
ZoomTracks.exe,30812,0x1C47021CD80,DXGI,0,512,1,Hardware: Independent Flip,3995.6950,NA,0.33130000000000,13.25180000000000,9.87490000000000,13.28550000000000,13.4271,3995.5499,10.0200,0.1451,9.8749,0.2404,13.1902,3.6497,9.5405,9.3981,3995.5499,NA,NA,NA
ZoomTracks.exe,30812,0x1C47021CD80,DXGI,0,512,1,Hardware: Independent Flip,4005.7361,NA,10.04110000000000,6.95020000000000,10.07730000000000,10.25820000000000,10.3362,4005.5699,10.2435,0.1662,10.0773,3.4106,7.0138,0.4336,6.5802,3.0698,4005.5699,NA,NA,NA
ZoomTracks.exe,30812,0x1C47021CD80,DXGI,0,512,1,Hardware: Independent Flip,4016.1077,NA,10.37160000000000,12.81430000000000,9.63130000000000,12.76690000000000,12.7789,4015.8134,9.9256,0.2943,9.6313,0.1809,12.8803,3.7167,9.1636,-2.5708,4015.8134,NA,NA,NA
